text,intent
what course can i take,programs
courses available,programs
what degrees are offered,programs
list the courses,programs
show degree programs,programs
does the school offer information technology,programs
tell me about the it program,programs
what is bsit,programs
what is bscs,programs
available college courses,programs
which programs can students take,programs
what academic courses are there,programs
describe the bsit program,programs
what programs does the school have,programs
tell me about the school,campus_knowledge
campus information,campus_knowledge
school information,campus_knowledge
what is the policy,campus_knowledge
tell me about bonded,campus_knowledge
what are the school rules,campus_knowledge
tell me the campus policy,campus_knowledge
where can i find school information,campus_knowledge
what is bonded,campus_knowledge
information about the campus,campus_knowledge
tell me about a school policy,campus_knowledge
what are the campus guidelines,campus_knowledge
what should i know about bonded,campus_knowledge
give me school information,campus_knowledge
what are the student guidelines,campus_knowledge
what does the school say about this policy,campus_knowledge
campus rules please,campus_knowledge
school rules and policies,campus_knowledge
can you tell who i am,user_identity
can you identify who i am,user_identity
tell me who i am,user_identity
which account is mine,user_identity
do you know who is signed in,user_identity
what user am i,user_identity
can you recognize my account,user_identity
tell me about foundation week,events
give me details about foundation week,events
when does foundation week happen,events
what day is the orientation,events
what time does orientation start,events
where will the orientation happen,events
when are the school activities,events
what campus event is next,events
who is batman,unknown
tell me about batman,unknown
write me a story,unknown
write an essay for me,unknown
tell me a joke,unknown
what is the weather today,unknown
will it rain today,unknown
what is the temperature,unknown
who won the basketball game,unknown
what is the nba score,unknown
what movie should i watch,unknown
recommend a song,unknown
give me a recipe,unknown
how do i cook chicken,unknown
who is the president,unknown
tell me political news,unknown
what is bitcoin price,unknown
what is the stock market doing,unknown
translate this sentence,unknown
write a poem,unknown
make an image,unknown
what is the capital of france,unknown
who is spider man,unknown
tell me about naruto,unknown
how do i fix my car,unknown
what phone should i buy,unknown
what laptop is best,unknown
play music,unknown
open youtube,unknown
book me a flight,unknown
tell me world news,unknown
what happened in the news today,unknown
who won the election,unknown
give medical advice,unknown
diagnose my symptoms,unknown
what is the meaning of life,unknown
solve my programming homework,unknown
write javascript code,unknown
what is quantum physics,unknown
tell me a random fact,unknown
what are you,assistant_identity
what is bonded ai,assistant_identity
tell me about yourself,assistant_identity
are you an ai,assistant_identity
are you a chatbot,assistant_identity
what is your purpose,assistant_identity
introduce yourself,assistant_identity
who built you,assistant_identity
who made you,assistant_identity
explain what you are,assistant_identity
are you a real person,assistant_identity
are you human,assistant_identity
what type of bot are you,assistant_identity
what should i know about you,assistant_identity
give me your name,assistant_identity
who exactly are you,assistant_identity
what is this assistant called,assistant_identity
name of this chatbot,assistant_identity
are you a real assistant,assistant_identity
what makes you bonded ai,assistant_identity
bye bye,goodbye
see ya,goodbye
im leaving now,goodbye
gotta go now,goodbye
logging off,goodbye
see you around,goodbye
farewell,goodbye
take care bye,goodbye
im done for now,goodbye
signing off,goodbye
paalam,goodbye
paalam po,goodbye
okay im out,goodbye
im heading out,goodbye
alright bye,goodbye
that will be all bye,goodbye
im logging out now,goodbye
see you tomorrow,goodbye
have a great day bye,goodbye
gotta run bye,goodbye
what programs does bonded offer,programs
list all courses,programs
what degree programs are available,programs
tell me about the bsit program,programs
show available courses,programs
what majors do you have,programs
what can i study here,programs
give me course options,programs
what programs can i enroll in,programs
list college degrees offered,programs
what it courses are offered,programs
tell me about your academic programs,programs
what bachelor degrees are offered,programs
what course options do i have,programs
can i see the list of programs,programs
what program should i take,programs
show me the course list,programs
what programs are open for enrollment,programs
enumerate the academic programs,programs
what majors does bonded have,programs
what course tracks are available,programs
list bonded degree programs,programs
what is the dress code,campus_knowledge
where is the registrar office,campus_knowledge
what are the enrollment requirements,campus_knowledge
tell me about school guidelines,campus_knowledge
what is the attendance policy,campus_knowledge
how do i enroll,campus_knowledge
what are the tuition fees,campus_knowledge
what is the grading policy,campus_knowledge
where is the campus located,campus_knowledge
what facilities does the campus have,campus_knowledge
tell me the school mission,campus_knowledge
what is the school vision,campus_knowledge
how do i request my documents,campus_knowledge
what are the admission requirements,campus_knowledge
tell me about school safety rules,campus_knowledge
what is the uniform policy,campus_knowledge
whats the process for dropping a subject,campus_knowledge
tell me about scholarship programs,campus_knowledge
yo,greeting
hiya,greeting
greetings,greeting
good day bonded,greeting
hi bonded assistant,greeting
sup,greeting
hey good morning,greeting
morning bonded,greeting
hi po,greeting
hello po,greeting
whats up bonded,greeting
kamusta ka,wellbeing
how you doing today,wellbeing
you ok,wellbeing
how is life,wellbeing
everything good with you,wellbeing
how are you feeling today,wellbeing
are you well today,wellbeing
thanks so much,thanks
many thanks,thanks
thank you so much,thanks
salamat po ha,thanks
i appreciate your help,thanks
thanks a bunch,thanks
thanks for that,thanks
thank you for the information,thanks
whats my name again,user_identity
can you tell my name,user_identity
who is logged in,user_identity
who is using this account,user_identity
show my program,user_profile
whats my student number,user_profile
give me my profile details,user_profile
display my account info,user_profile
what can this bot do,help
how does bonded ai work,help
list your features,help
what are your functions,help
give me a list of things you can help with,help
what is the day today,date
current day,date
what day of the week is today,date
todays date please,date
current time please,time
what time do we have,time
give me the time,time
what is 3 plus 3,calculator
compute 9 minus 1,calculator
10 times 10,calculator
100 divided by 4,calculator
any school activities this month,events
whats happening on campus this week,events
list upcoming bonded events,events
any activities scheduled soon,events
whats the next campus event,events
upcoming foundation events,events
sing me a song,unknown
translate this to spanish,unknown
recommend a movie,unknown
fix my laptop,unknown
whats bitcoin price today,unknown
write a poem about love,unknown
what is todays exchange rate,unknown
how tall is mount everest,unknown
who invented the telephone,unknown
give me a workout plan,unknown
what is the fastest car in the world,unknown
what is the tallest mountain,unknown
how many planets are there,unknown
who wrote romeo and juliet,unknown
what language is spoken in japan,unknown
convert 10 miles to kilometers,unknown
what is the square root of 144,unknown
tell me about world war 2,unknown
what is machine learning,unknown
explain blockchain to me,unknown
what is the population of the philippines,unknown
give me a business idea,unknown
help me write a resume,unknown
how do i lose weight,unknown
whats a good diet plan,unknown
tell me about the solar system,unknown
who is the ceo of apple,unknown
what stocks should i buy,unknown
give me lottery numbers,unknown
tell me a scary story,unknown
what should i name my dog,unknown
recommend a restaurant near me,unknown
whats a good gift for my mom,unknown
how do i tie a tie,unknown
teach me spanish,unknown
what is the meaning of my dream,unknown
predict the future,unknown
what zodiac sign am i,unknown
tell me my horoscope,unknown
whats trending on social media,unknown
help me plan a party,unknown
give me relationship advice,unknown
should i break up with my partner,unknown
write my cover letter,unknown
proofread my essay,unknown
summarize this article for me,unknown
generate a logo for my business,unknown
what is the best programming language,unknown
debug this python code,unknown
explain how neural networks work,unknown
what is chatgpt,unknown
are you chatgpt,unknown
are you gemini,unknown
are you claude,unknown
can you access the internet,unknown
whats the latest iphone,unknown
compare ps5 and xbox,unknown
what games should i play,unknown
tell me about your favorite anime,unknown
who is stronger goku or superman,unknown
whats the plot of avengers endgame,unknown
recommend a netflix series,unknown
what is 2 plus 2 in binary,unknown
convert celsius to fahrenheit,unknown
who is the tallest person alive,unknown
whats the currency of japan,unknown
how many countries are in the world,unknown
what year did world war 1 end,unknown
tell me about ancient egypt,unknown
who painted the mona lisa,unknown
what is photosynthesis,unknown
explain the theory of relativity,unknown
tell me about bsis,programs
what is bsis,programs
do you have bsis,programs
tell me about bstm,programs
what is bstm,programs
do you have bstm,programs
what is bachelor of science in information systems,programs
what is bachelor of science in tourism management,programs
tell me about the tourism management program,programs
tell me about the information systems program,programs
is bsis available,programs
is bstm available,programs
what programs does bonded ed offer,programs
show me bsis details,programs
show me bstm details,programs
